latitude,longitude,value
32.4166565,-90.7500313,-0.111
31.916656700000004,-91.9166975,1.971
34.583322300000006,-100.8333606,1.924
32.4999898,-90.666698,-0.11
32.6666564,-90.5000314,-0.107
33.9999892,-95.8333626,-0.106
34.1666558,-91.1666978,-0.105
36.083321700000006,-95.2500295,-0.1
35.9166551,-99.833361,1.762
36.499988200000004,-98.91669470000001,1.685
36.6666548,-88.166699,-0.098
36.583321500000004,-99.000028,1.653
41.083319700000004,-100.666694,1.636
36.999988,-89.5000318,-0.095
38.666654,-92.2500307,-0.088
39.333320400000005,-91.0000312,-0.085
44.499985,-102.0000268,-0.071
44.6666516,-103.5833595,1.567
44.7499849,-101.2500271,-0.068
44.6666516,-103.6666928,1.389
45.08331810000001,-93.2500303,1.153
44.8333182,-101.0833605,-0.064
44.9166515,-101.0833605,-0.062
47.9166503,-108.5000242,-0.061
48.9166499,-110.0833569,0.957
47.9166503,-108.6666908,-0.056
48.16665020000001,-109.833357,-0.053
49.5833163,-110.00002359999999,-0.043
48.9999832,-110.2500235,0.277
49.4166497,-109.50002380000001,0.224
49.4166497,-109.5833571,-0.018
49.499983,-109.6666904,-0.019
49.66664960000001,-108.83335740000001,-0.02
49.5833163,-110.3333568,-0.037
49.5833163,-110.41669010000001,-0.029
49.66664960000001,-109.4166905,-0.028
49.66664960000001,-109.2500239,-0.021
49.66664960000001,-110.2500235,-0.024
49.66664960000001,-109.3333572,-0.027
49.66664960000001,-109.16669060000001,-0.023
49.66664960000001,-109.0833573,-0.022
49.66664960000001,-109.000024,-0.023
49.66664960000001,-108.9166907,-0.022
49.5833163,-110.2500235,-0.024
49.5833163,-110.1666902,-0.025
49.5833163,-110.0833569,-0.028
49.5833163,-109.9166903,-0.028
49.5833163,-109.833357,-0.026
49.5833163,-109.7500237,-0.02
49.5833163,-109.6666904,-0.021
49.5833163,-109.5833571,-0.025
49.5833163,-109.50002380000001,-0.025
49.5833163,-109.4166905,-0.021
49.5833163,-109.3333572,-0.021
49.5833163,-109.2500239,-0.021
49.5833163,-109.16669060000001,-0.021
49.5833163,-109.0833573,-0.021
49.5833163,-109.000024,-0.021
49.5833163,-108.9166907,-0.021
49.5833163,-108.83335740000001,-0.021
49.499983,-110.5000234,-0.022
49.499983,-110.41669010000001,-0.023
49.499983,-110.3333568,-0.023
49.499983,-110.2500235,-0.022
49.499983,-110.1666902,-0.021
49.499983,-110.0833569,-0.022
49.499983,-110.00002359999999,-0.023
49.499983,-109.9166903,-0.022
49.499983,-109.833357,-0.021
49.499983,-109.7500237,-0.021
49.499983,-109.5833571,-0.02
49.499983,-109.50002380000001,-0.021
49.499983,-109.4166905,-0.02
49.499983,-109.3333572,-0.02
49.499983,-109.2500239,-0.022
49.499983,-109.16669060000001,-0.021
49.499983,-109.0833573,-0.022
49.499983,-109.000024,-0.023
49.499983,-108.9166907,-0.021
49.499983,-108.83335740000001,-0.021
49.499983,-108.75002409999999,-0.02
49.499983,-108.6666908,-0.02
49.499983,-108.5833575,-0.019
49.499983,-108.5000242,-0.019
49.499983,-108.41669089999999,-0.019
49.499983,-108.3333576,-0.019
49.499983,-108.2500243,-0.019
49.499983,-108.166691,-0.02
49.499983,-108.0833577,-0.02
49.499983,-108.0000244,-0.02
49.499983,-107.91669110000001,-0.02
49.499983,-107.8333578,-0.02
49.499983,-107.7500245,-0.02
49.499983,-107.6666912,-0.022
49.4166497,-110.5000234,-0.021
49.4166497,-110.41669010000001,-0.02
49.4166497,-110.3333568,-0.02
49.4166497,-110.2500235,-0.021
49.4166497,-110.1666902,-0.022
49.4166497,-110.0833569,-0.022
49.4166497,-110.00002359999999,-0.02
49.4166497,-109.9166903,-0.021
49.4166497,-109.833357,-0.021
49.4166497,-109.7500237,-0.021
49.4166497,-109.6666904,-0.021
49.4166497,-109.4166905,-0.021
49.4166497,-109.3333572,-0.021
49.4166497,-109.2500239,-0.02
49.4166497,-109.16669060000001,-0.021
49.4166497,-109.0833573,-0.02
49.4166497,-109.000024,-0.021
49.4166497,-108.9166907,-0.021
49.4166497,-108.83335740000001,-0.021
49.4166497,-108.75002409999999,-0.021
49.4166497,-108.6666908,-0.02
49.4166497,-108.5833575,-0.02
49.4166497,-108.5000242,-0.02
49.4166497,-108.41669089999999,-0.02
49.4166497,-108.3333576,-0.022
49.4166497,-108.2500243,-0.02
49.4166497,-108.166691,-0.02
49.4166497,-108.0833577,-0.02
49.4166497,-108.0000244,-0.02
49.4166497,-107.91669110000001,-0.02
49.4166497,-107.8333578,-0.02
49.4166497,-107.7500245,-0.02
49.4166497,-107.6666912,-0.021
49.4166497,-107.58335790000001,-0.02
49.3333164,-110.5000234,-0.021
49.3333164,-110.41669010000001,-0.021
49.3333164,-110.3333568,-0.021
49.3333164,-110.2500235,-0.022
49.3333164,-110.1666902,-0.022
49.3333164,-110.0833569,-0.002
49.3333164,-110.00002359999999,-0.02
49.3333164,-109.9166903,-0.021
49.3333164,-109.833357,-0.021
49.3333164,-109.7500237,-0.015
49.3333164,-109.6666904,-0.015
49.3333164,-109.5833571,-0.015
49.3333164,-109.50002380000001,-0.015
49.3333164,-109.4166905,-0.015
49.3333164,-109.3333572,-0.02
49.3333164,-109.2500239,-0.02
49.3333164,-109.16669060000001,-0.02
49.3333164,-109.0833573,-0.02
49.3333164,-109.000024,-0.02
49.3333164,-108.9166907,-0.021
49.3333164,-108.83335740000001,-0.02
49.3333164,-108.75002409999999,-0.02
49.3333164,-108.6666908,-0.02
49.3333164,-108.5833575,-0.02
49.3333164,-108.5000242,-0.02
49.3333164,-108.41669089999999,-0.02
49.3333164,-108.3333576,-0.02
49.3333164,-108.2500243,-0.02
49.3333164,-108.166691,-0.02
49.3333164,-108.0833577,-0.02
49.3333164,-108.0000244,-0.02
49.3333164,-107.91669110000001,-0.02
49.3333164,-107.8333578,-0.021
49.3333164,-107.7500245,-0.021
49.3333164,-107.6666912,-0.021
49.3333164,-107.58335790000001,-0.021
49.3333164,-107.5000246,-0.021
49.3333164,-107.4166913,-0.021
49.3333164,-107.333358,-0.02
49.3333164,-106.1666918,-0.02
49.3333164,-106.0833585,-0.019
49.3333164,-106.00002520000001,-0.019
49.3333164,-105.9166919,-0.018
49.3333164,-105.8333586,-0.018
49.3333164,-105.7500253,-0.013
49.3333164,-105.08335890000001,-0.011
49.3333164,-105.0000256,-0.004
49.3333164,-104.9166923,-0.008
49.3333164,-104.833359,-0.017
49.3333164,-104.7500257,-0.017
49.3333164,-104.6666924,-0.015
49.2499831,-110.5833567,-0.015
49.2499831,-110.5000234,-0.016
49.2499831,-110.41669010000001,-0.016
49.2499831,-110.3333568,-0.016
49.2499831,-110.2500235,-0.016
49.2499831,-110.1666902,-0.016
49.2499831,-110.0833569,-0.016
49.2499831,-110.00002359999999,-0.015
49.2499831,-109.9166903,-0.022
49.2499831,-109.833357,0.01
49.2499831,-109.7500237,-0.015
49.2499831,-109.6666904,-0.016
49.2499831,-109.5833571,-0.015
49.2499831,-109.50002380000001,-0.015
49.2499831,-109.4166905,-0.017
49.2499831,-109.3333572,0.035
49.2499831,-109.2500239,0.051
49.2499831,-109.16669060000001,-0.02
49.2499831,-109.0833573,-0.021
49.2499831,-109.000024,-0.02
49.2499831,-108.9166907,-0.015
49.2499831,-108.83335740000001,-0.015
49.2499831,-108.75002409999999,-0.015
49.2499831,-108.6666908,-0.02
49.2499831,-108.5833575,-0.02
49.2499831,-108.5000242,-0.02
49.2499831,-108.41669089999999,-0.02
49.2499831,-108.3333576,-0.02
49.2499831,-108.2500243,-0.02
49.2499831,-108.166691,-0.019
49.2499831,-108.0833577,-0.02
49.2499831,-108.0000244,-0.021
49.2499831,-107.91669110000001,-0.021
49.2499831,-107.8333578,-0.02
49.2499831,-107.7500245,-0.021
49.2499831,-107.6666912,-0.021
49.2499831,-107.58335790000001,-0.021
49.2499831,-107.5000246,-0.021
49.2499831,-107.4166913,-0.021
49.2499831,-107.333358,-0.021
49.2499831,-107.2500247,0.009
49.2499831,-107.16669139999999,-0.02
49.2499831,-107.0833581,-0.02
49.2499831,-106.83335819999999,-0.02
49.2499831,-106.7500249,-0.02
49.2499831,-106.66669160000001,-0.02
49.2499831,-106.5833583,-0.021
49.2499831,-106.500025,-0.021
49.2499831,-106.4166917,-0.02
49.2499831,-106.33335840000001,-0.02
49.2499831,-106.2500251,-0.021
49.2499831,-106.1666918,-0.02
49.2499831,-106.0833585,-0.02
49.2499831,-106.00002520000001,-0.018
49.2499831,-105.9166919,-0.018
49.2499831,-105.8333586,-0.017
49.2499831,-105.7500253,-0.018
49.2499831,-105.666692,-0.018
49.2499831,-105.08335890000001,-0.023
49.2499831,-105.0000256,-0.017
49.2499831,-104.9166923,-0.018
49.2499831,-104.833359,-0.018
49.2499831,-104.7500257,0.017
49.2499831,-104.6666924,-0.017
49.2499831,-104.5833591,-0.017
49.2499831,-104.5000258,-0.016
49.2499831,-104.3333592,-0.014
49.2499831,-104.2500259,-0.016
49.1666498,-110.66669,-0.021
49.1666498,-110.5833567,-0.015
49.1666498,-110.5000234,-0.016
49.1666498,-110.41669010000001,-0.016
49.1666498,-110.3333568,-0.015
49.1666498,-110.2500235,-0.016
49.1666498,-110.1666902,-0.017
49.1666498,-110.0833569,-0.017
49.1666498,-110.00002359999999,-0.016
49.1666498,-109.9166903,-0.017
49.1666498,-109.833357,-0.016
49.1666498,-109.7500237,-0.015
49.1666498,-109.6666904,-0.016
49.1666498,-109.5833571,-0.01
49.1666498,-109.50002380000001,-0.015
49.1666498,-109.4166905,-0.015
49.1666498,-109.3333572,-0.021
49.1666498,-109.2500239,-0.02
49.1666498,-109.16669060000001,-0.021
49.1666498,-109.0833573,0.014
49.1666498,-109.000024,0.049
