latitude,longitude,value
32.5833231,-94.00003,-0.066
35.9166551,-89.833365,9.5
32.7499897,-93.7500301,-0.063
33.166656200000006,-90.1666982,-0.06
33.416656100000004,-90.0833649,-0.059
33.499989400000004,-90.0833649,-0.054
33.9999892,-95.8333626,-0.053
34.0833225,-95.91669590000001,-0.051
34.3333224,-96.0833625,-0.049
36.333321600000005,-88.0833657,-0.047
35.99998840000001,-90.0833649,8.98
36.083321700000006,-90.1666982,8.745
36.166655000000006,-90.3333648,8.657
36.333321600000005,-90.1666982,8.503
36.999988,-89.5000318,-0.044
36.333321600000005,-90.2500315,7.156
36.416654900000005,-90.0833649,6.778
36.416654900000005,-90.1666982,6.723
36.499988200000004,-90.666698,2.219
36.499988200000004,-98.91669470000001,0.76
36.583321500000004,-99.000028,0.735
36.6666548,-99.0833613,0.694
41.083319700000004,-100.666694,0.669
37.0833213,-89.1666986,-0.039
38.5833207,-91.8333642,-0.038
38.7499873,-91.6666976,-0.036
39.083320500000006,-85.0000336,-0.035
39.333320400000005,-91.0000312,-0.034
39.416653700000005,-86.5833663,-0.03
39.499987000000004,-82.6667012,-0.028
39.583320300000004,-87.0000328,-0.027
40.583319900000006,-81.4167017,-0.026
43.4999854,-103.7500261,-0.024
42.833319,-89.1666986,0.56
42.9166523,-89.1666986,0.547
43.3333188,-103.4166929,0.529
43.4166521,-103.2500263,0.528
44.6666516,-103.5833595,0.496
44.499985,-102.0000268,-0.023
47.249983900000004,-95.2500295,-0.021
45.08331810000001,-93.2500303,0.484
45.249984700000006,-93.2500303,0.422
45.666651200000004,-92.8333638,0.351
45.9166511,-92.91669710000001,0.339
46.916650700000005,-94.9166963,0.328
48.9166499,-110.0833569,0.282
47.3333172,-94.50002980000001,-0.019
47.9166503,-108.5000242,-0.018
48.0833169,-109.7500237,-0.016
48.16665020000001,-109.833357,-0.015
49.5833163,-110.00002359999999,-0.013
48.9999832,-110.2500235,0.082
49.4166497,-109.50002380000001,0.067
49.499983,-109.6666904,-0.005
49.66664960000001,-109.2500239,-0.006
